"GT_F/A"	"GT_F/(M+F)"	"BLS_Data"
0.1818181818	0.3333333333	0.289
0.0909090909	0.1666666667	0.289
0.1818181818	0.3333333333	0.289
0.0909090909	0.1428571429	0.289
0	0	0.177
0	0	0.295
0.1818181818	0.2857142857	0.371
0	0	0.11
0	0	0.289
0.0909090909	0.1666666667	0.289
0	0	0.289
0.0909090909	0.1666666667	0.289
0.0909090909	0.1428571429	0.289
0	0	0.379
0.0909090909	0.125	0.289
0.1818181818	0.2222222222	0.289
0.0909090909	0.125	0.289
0	0	0.289
0.0909090909	0.1428571429	0.759
0.3636363636	0.4444444444	0.732
0.1818181818	0.25	0.289
0.0909090909	0.1428571429	0.289
0.2727272727	0.4285714286	0.289
0.3636363636	0.5714285714	0.289
0.4545454545	0.5555555556	0.289
0.1818181818	0.25	0.045
0	0	0.045
0	0	0.379
0	0	0.033
0.0909090909	0.25	0.289
0	0	0.289
0.0909090909	0.1428571429	0.289
0.1818181818	0.2857142857	0.289
0.0909090909	0.1666666667	0.289
0	0	0.289
0.0909090909	0.1111111111	0.759
0	0	0.379
0.2727272727	0.4285714286	0.289
0.2727272727	0.4285714286	0.289
0.2727272727	0.3333333333	0.289
0.4545454545	0.7142857143	0.289
0.1818181818	0.2857142857	0.289
0.2727272727	0.5	0.289
0.2727272727	0.4285714286	0.289
0.3636363636	0.5	0.289
0.2727272727	0.375	0.289
0.3636363636	0.6666666667	0.289
0.1818181818	0.25	0.289
0.3636363636	0.6666666667	0.289
0.4545454545	0.8333333333	0.289
0.4545454545	0.625	0.289
0.1818181818	0.2	0.289
0.4545454545	0.625	0.289
0.3636363636	0.5714285714	0.289
0.2727272727	0.4285714286	0.289
0.4545454545	0.8333333333	0.289
0.4545454545	0.625	0.289
0.2727272727	0.3333333333	0.289
0.3636363636	0.5	0.289
0.3636363636	0.6666666667	0.289
0.4545454545	0.625	0.289
0	0	0.289
0.1818181818	0.25	0.289
0.1818181818	0.2857142857	0.289
0.1818181818	0.2222222222	0.032
0.2727272727	0.3333333333	0.289
0.1818181818	0.2857142857	0.289
0.1818181818	0.2857142857	0.289
0.0909090909	0.1428571429	0.289
0.2727272727	0.3333333333	0.289
0.0909090909	0.1428571429	0.289
0.3636363636	0.5714285714	0.289
0	0	0.038
0	0	0.038
0.0909090909	0.1111111111	0.038
0	0	0.038
0.0909090909	0.1666666667	0.379
0.1818181818	0.25	0.045
0.0909090909	0.1111111111	0.045
0.0909090909	0.1428571429	0.289
0	0	0.289
0.1818181818	0.25	0.289
0	0	0.289
0.1818181818	0.25	0.289
0.0909090909	0.1428571429	0.289
0	0	0.089
0.0909090909	0.1111111111	0.162
0	0	0.286
0	0	0.162
0.1818181818	0.2222222222	0.162
0	0	0.169
0	0	0.144
0	0	0.172
0.1818181818	0.2857142857	0.208
0	0	0.123
0	0	0.123
0	0	0.141
0	0	0.2
0	0	0.162
0	0	0.162
0	0	0.226
0	0	0.226
0	0	0.046
0	0	0.162
0	0	0.162
0	0	0.092
0	0	0.162
0	0	0.162
0	0	0.162
0	0	0.162
0	0	0.162
0.0909090909	0.125	0.162
0	0	0.046
0.0909090909	0.1111111111	0.162
0.0909090909	0.1	0.474
0.0909090909	0.1111111111	0.474
0.0909090909	0.1	0.474
0.0909090909	0.1	0.474
0	0	0.544
0	0	0.474
0	0	0.274
0.0909090909	0.1	0.383
0	0	0.474
0	0	0.474
0	0	0.358
0.0909090909	0.0909090909	0.474
0.1818181818	0.2222222222	0.474
0	0	0.474
0	0	0.474
0	0	0.358
0	0	0.477
0	0	0.474
0	0	0.383
0.0909090909	0.1	0.521
0	0	0.474
0	0	0.474
0	0	0.477
0	0	0.473
0	0	0.474
0.1818181818	0.2	0.689
0	0	0.474
0.1818181818	0.1818181818	0.474
0	0	0.477
0	0	0.474
0	0	0.474
0	0	0.474
0.0909090909	0.1	0.474
0	0	0.474
0	0	0.173
0	0	0.062
0	0	0.173
0.1818181818	0.2	0.173
0.1818181818	0.2222222222	0.173
0	0	0.088
0.1818181818	0.2	0.173
0.0909090909	0.1111111111	0.173
0.0909090909	0.2	0.173
0	0	0.478
0.0909090909	0.1111111111	0.189
0	0	0.173
0.0909090909	0.125	0.173
0.0909090909	0.1111111111	0.041
0	0	0.173
0	0	0.062
0.2727272727	0.4285714286	0.14
0	0	0.173
0.2727272727	0.3333333333	0.729
0	0	0.062
0	0	0.199
0	0	0.173
0	0	0.082
0	0	0.082
0.2727272727	0.3333333333	0.199
0	0	0.173
0.1818181818	0.3333333333	0.173
0.0909090909	0.1111111111	0.173
0	0	0.173
0.0909090909	0.125	0.173
0.0909090909	0.1111111111	0.173
0	0	0.199
0.2727272727	0.3333333333	0.173
0.0909090909	0.1428571429	0.173
0	0	0.175
0.2727272727	0.3	0.173
0.1818181818	0.25	0.527
0.1818181818	0.25	0.527
0	0	0.167
0	0	0.173
