Occupation	Total employed (Thousands)	Women	Original
Lathe tool tender	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic
Laundry worker	151	68	Laundry and dry-cleaning workers
Lawyer	1,137	37.4	Lawyers
Layout worker	12	-	Layout workers, metal and plastic
Leather repairer	5	-	Shoe and leather workers and repairers
Leather worker	5	-	Shoe and leather workers and repairers
Legal assistant	424	86.3	Paralegals and legal assistants
Legal support worker	186	80.2	Miscellaneous legal support workers
Legislator	18	-	Legislators
Librarian	194	79.5	Librarians
Library technician	40	-	Library technicians
License clerk	90	75.2	Court, municipal, and license clerks
Licensed practical nurse	630	89.5	Licensed practical and licensed vocational nurses
Licensed vocational nurses	630	89.5	Licensed practical and licensed vocational nurses
Life science technician	164	47.7	Miscellaneous life, physical, and social science technicians
Life scientist	3	-	Life scientists, all other
Lifeguard	136	49.6	Lifeguards and other recreational, and all other protective service workers
Loading machine operator	30	-	Dredge, excavating, and loading machine operators
Loan clerk	120	80.4	Loan interviewers and clerks
Loan interviewer	120	80.4	Loan interviewers and clerks
Loan officer	353	56.5	Credit counselors and loan officers
Lobby attendant	37	-	Ushers, lobby attendants, and ticket takers
Lock tenders	5	-	Bridge and lock tenders
Locksmith	35	-	Locksmiths and safe repairers
Locomotive engineer	42	-	Locomotive engineers and operators
Locomotive operator	42	-	Locomotive engineers and operators
Lodging manager	156	48.8	Lodging managers
Logging worker	66	2	Logging workers
Logistician	112	34.8	Logisticians
Machine assembler	13	-	Engine and other machine assemblers
Machine feeder	31	-	Machine feeders and offbearers
Machinery maintenance worker	27	-	Maintenance workers, machinery
Machinist	366	5	Machinists
Magistrate	66	28.1	Judges, magistrates, and other judicial workers
Mail clerk	61	36.8	Mail clerks and mail machine operators, except postal service
Mail machine operator	61	36.8	Mail clerks and mail machine operators, except postal service
Mail superintendent	27	-	Postmasters and mail superintendents
Maintenance worker	528	4.5	Maintenance and repair workers, general
Maintenance worker	215	5.9	Other installation, maintenance, and repair workers
Maintenance workers helper	18	-	Helpers--installation, maintenance, and repair workers
Management analyst	937	42.3	Management analysts
Manager	4,398	35.8	Managers, all other
Manufactured building installer	4	-	Manufactured building and mobile home installers
Manufacturing sales representatives	1,264	28	Sales representatives, wholesale and manufacturing
Mapping technician	73	4.6	Surveying and mapping technicians
Marine engineer	12	-	Marine engineers and naval architects
Marine oiler	19	-	Sailors and marine oilers
Market research analyst	344	60.8	Market research analysts and marketing specialists
Marketing manager	1,078	45.3	Marketing and sales managers
Marketing specialist	344	60.8	Market research analysts and marketing specialists
Massage therapist	172	82.7	Massage therapists
Material mover	1,930	19.9	Laborers and freight, stock, and material movers, hand
Material moving worker	40	-	Material moving workers, all other
Materials engineer	32	-	Materials engineers
Materials scientist	105	38.3	Chemists and materials scientists
Mathematician	3	-	Mathematicians
Meat processing worker	269	24.3	Butchers and other meat, poultry, and fish processing workers
Mechanical engineer	344	9.2	Mechanical engineers
Media worker	5	-	Media and communication equipment workers, all other
Media worker	112	64.2	Miscellaneous media and communication workers
Medical assistant	539	91.6	Medical assistants
Medical equipment preparer	200	70.5	Miscellaneous healthcare support occupations, including medical equipment preparers
Medical laboratory technician	70	63.1	Medical, dental, and ophthalmic laboratory technicians
Medical records technician	167	91.7	Medical records and health information technicians
Medical scientist	161	52.1	Medical scientists
Medical services manager	671	69.8	Medical and health services managers
Medical transcriptionist	36	-	Medical transcriptionists
Meeting planner	137	85.1	Meeting, convention, and event planners
Messenger	239	19.4	Couriers and messengers
Metal extruding machine operator	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic
Metal extruding machine setter	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic
Metal extruding machine tender	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic
Metal furnace caster	19	-	Metal furnace operators, tenders, pourers, and casters
Metal furnace operator	19	-	Metal furnace operators, tenders, pourers, and casters
Metal furnace pourer	19	-	Metal furnace operators, tenders, pourers, and casters
Metal furnace tender	19	-	Metal furnace operators, tenders, pourers, and casters
Metal model maker	5	-	Model makers and patternmakers, metal and plastic
Metal molder	45	-	Molders and molding machine setters, operators, and tenders, metal and plastic
Metal patternmaker	5	-	Model makers and patternmakers, metal and plastic
Metal pickling equipment operator	11	-	Cleaning, washing, and metal pickling equipment operators and tenders
Metal pickling equipment tender	11	-	Cleaning, washing, and metal pickling equipment operators and tenders
Metal worker	43	-	Jewelers and precious stone and metal workers
Metal worker	388	20.5	Metal workers and plastic workers, all other
Meter reader	18	-	Meter readers, utilities
Middle school teacher	3,268	79.3	Elementary and middle school teachers
Milling machine operator	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic
Milling machine setter	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic
Milling machine tender	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic
Millwright	40	-	Millwrights
Mine shuttle car operator	0	-	Mine shuttle car operators
Mining engineer	11	-	Mining and geological engineers, including mining safety engineers
Mining machine operator	51	1.1	Mining machine operators
Mining roof bolter 	2	-	Roof bolters, mining
Mining safety engineer	11	-	Mining and geological engineers, including mining safety engineers
Mixing worker	72	14	Crushing, grinding, polishing, mixing, and blending workers
Mobile equipment installer	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers
Mobile equipment mechanic	201	2.6	Heavy vehicle and mobile equipment service technicians and mechanics
Mobile equipment mechanic	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers
Mobile equipment repairer	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers
Mobile equipment service technician	201	2.6	Heavy vehicle and mobile equipment service technicians and mechanics
Mobile home installer	4	-	Manufactured building and mobile home installers
Model	61	78.4	Models, demonstrators, and product promoters
Molder	35	-	Molders, shapers, and casters, except metal and plastic
Molding machine operator	45	-	Molders and molding machine setters, operators, and tenders, metal and plastic
Molding machine setter	45	-	Molders and molding machine setters, operators, and tenders, metal and plastic
Molding machine tender	45	-	Molders and molding machine setters, operators, and tenders, metal and plastic
Mortician	42	-	Morticians, undertakers, and funeral directors
Motel desk clerk	125	60.9	Hotel, motel, and resort desk clerks
Motion picture camera operator	82	12.2	Television, video, and motion picture camera operators and editors
Motion picture editor	82	12.2	Television, video, and motion picture camera operators and editors
Motion picture projectionist	1	-	Motion picture projectionists
Motor vehicle operator	76	17.5	Motor vehicle operators, all other
Motor vehicles electronic equipment installer	11	-	Electronic equipment installers and repairers, motor vehicles
Motor vehicles electronic equipment repairer	11	-	Electronic equipment installers and repairers, motor vehicles
Multiple machine tool operator	5	-	Multiple machine tool setters, operators, and tenders, metal and plastic
Multiple machine tool setter	5	-	Multiple machine tool setters, operators, and tenders, metal and plastic
Multiple machine tool tender	5	-	Multiple machine tool setters, operators, and tenders, metal and plastic
Municipal clerk	90	75.2	Court, municipal, and license clerks
Museum technician	59	61.4	Archivists, curators, and museum technicians
Musician	188	37.7	Musicians, singers, and related workers
Natural sciences manager	16	-	Natural sciences managers
Naval architect	12	-	Marine engineers and naval architects
Network systems administrator	210	23.5	Network and computer systems administrators
New accounts clerk	32	-	New accounts clerks
News analyst	84	55.3	News analysts, reporters and correspondents
News correspondent	84	55.3	News analysts, reporters and correspondents
News reporter	84	55.3	News analysts, reporters and correspondents
News vendor	166	58.4	Door-to-door sales workers, news and street vendors, and related workers
Nuclear engineer	8	-	Nuclear engineers
Nuclear technician	7	-	Nuclear technicians
Nurse anesthetist	35	-	Nurse anesthetists
Nurse midwife	7	-	Nurse midwives
Nurse practitioner	175	92.2	Nurse practitioners
Nursing aide	1,936	88.6	Nursing, psychiatric, and home health aides
Nutritionist	114	94.1	Dietitians and nutritionists
Occupational therapist	122	87.6	Occupational therapists
Occupational therapy aide	27	-	Occupational therapy assistants and aides
Occupational therapy assistant	27	-	Occupational therapy assistants and aides
Offbearer	31	-	Machine feeders and offbearers
Office clerk	1,271	83.1	Office clerks, general
Office machine operator	33	-	Office machine operators, except computer
Office machine repairer	212	11.3	Computer, automated teller, and office machine repairers
Office support worker	576	75.2	Office and administrative support workers, all other
Operating engineer	358	1.5	Operating engineers and other construction equipment operators
Operations manager	1,005	34.1	General and operations managers
Operations research analyst	147	51.5	Operations research analysts
Ophthalmic laboratory technician	70	63.1	Medical, dental, and ophthalmic laboratory technicians
Optician	48	-	Opticians, dispensing
Optometrist	51	50.2	Optometrists
Order clerk	107	54.9	Order clerks
Order filler	1,525	37.9	Stock clerks and order fillers
Ordnance handling expert	10	-	Explosives workers, ordnance handling experts, and blasters
Oven operator	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Oven tender	10	-	Furnace, kiln, oven, drier, and kettle operators and tenders
Packager	539	52.7	Packers and packagers, hand
Packaging machine operator	292	52.8	Packaging and filling machine operators and tenders
Packaging machine tender	292	52.8	Packaging and filling machine operators and tenders
Packer	539	52.7	Packers and packagers, hand
Painter	540	6.6	Painters, construction and maintenance
Painting worker	157	12.6	Painting workers
Paper goods machine operator	29	-	Paper goods machine setters, operators, and tenders
Paper goods machine setter	29	-	Paper goods machine setters, operators, and tenders
Paper goods machine tender	29	-	Paper goods machine setters, operators, and tenders
Paperhanger	4	-	Paperhangers
Paralegals assistant	424	86.3	Paralegals and legal assistants
Paramedic	223	30.6	Emergency medical technicians and paramedics
Parking enforcement worker	6	-	Parking enforcement workers
Parking lot attendant	95	16.7	Parking lot attendants
Parts salesperson	130	7.2	Parts salespersons
Paving equipment operator	15	-	Paving, surfacing, and tamping equipment operators
Payroll clerk	129	89.5	Payroll and timekeeping clerks
Performer	67	48.1	Entertainers and performers, sports and related workers, all other
Personal appearance worker	397	81.8	Miscellaneous personal appearance workers
Personal care aide	1,365	83.7	Personal care aides
Personal care worker	167	60.1	Personal care and service workers, all other
Personal financial advisor	525	32	Personal financial advisors
Personal service worker	167	60.1	Personal care and service workers, all other
Personal trainer	480	62.3	Recreation and fitness workers
Pest control worker	108	6.5	Pest control workers
Petroleum engineer	24	-	Petroleum engineers
Petroleum technician	13	-	Geological and petroleum technicians
Pharmacist	342	57.5	Pharmacists
Pharmacy aide	39	-	Pharmacy aides
Phlebotomist	112	83.8	Phlebotomists
Photogrammetrist	43	-	Surveyors, cartographers, and photogrammetrists
Photographer	214	46	Photographers
Photographic process worker	31	-	Photographic process workers and processing machine operators
Photographic processing machine operator	31	-	Photographic process workers and processing machine operators
Physical science technician	164	47.7	Miscellaneous life, physical, and social science technicians
Physical scientist	301	47.3	Physical scientists, all other
Physical therapist	258	68.2	Physical therapists
Physical therapist aide	83	67.2	Physical therapist assistants and aides
Physical therapist assistant	83	67.2	Physical therapist assistants and aides
Physician	1,079	40	Physicians and surgeons
Physician assistant	116	70.9	Physician assistants
Physicist	18	-	Astronomers and physicists
Pile-driver operator	2	-	Pile-driver operators
Pipefitters	600	2.2	Pipelayers, plumbers, pipefitters, and steamfitters
Pipelayer	600	2.2	Pipelayers, plumbers, pipefitters, and steamfitters
Planing machine operator	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic
Planing machine setter	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic
Planing machine tender	5	-	Milling and planing machine setters, operators, and tenders, metal and plastic
Planning clerk	270	53.9	Production, planning, and expediting clerks
Plant operator	42	-	Miscellaneous plant and system operators
Plasterer	27	-	Plasterers and stucco masons
Plastic extruding machine operator	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic
Plastic extruding machine setter	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic
Plastic extruding machine tender	19	-	Extruding and drawing machine setters, operators, and tenders, metal and plastic
Plastic model maker	5	-	Model makers and patternmakers, metal and plastic
Plastic Molder	45	-	Molders and molding machine setters, operators, and tenders, metal and plastic
Plastic patternmaker	5	-	Model makers and patternmakers, metal and plastic
Plastic worker	388	20.5	Metal workers and plastic workers, all other
Plating and coating machine setters, operators, and tenders, metal and plastic	17	-	Plating and coating machine setters, operators, and tenders, metal and plastic
Plumber	600	2.2	Pipelayers, plumbers, pipefitters, and steamfitters
Podiatrist	12	-	Podiatrists
Police patrol officer	704	13.6	Police and sheriff's patrol officers
Policy processing clerk	237	84.3	Insurance claims and policy processing clerks
Polishing machine tool operator	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Polishing machine tool setter	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Polishing machine tool tender	38	-	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
Polishing worker	72	14	Crushing, grinding, polishing, mixing, and blending workers
Postal service clerk	111	55.3	Postal service clerks
Postal service mail carrier	306	40.8	Postal service mail carriers
Postal service mail processing machine operator	50	56.7	Postal service mail sorters, processors, and processing machine operators
Postal service mail processor	50	56.7	Postal service mail sorters, processors, and processing machine operators
Postal service mail sorter	50	56.7	Postal service mail sorters, processors, and processing machine operators
Posting clerk	473	85.9	Billing and posting clerks
Postmaster	27	-	Postmasters and mail superintendents
Postsecondary teacher	1,423	47	Postsecondary teachers
Poultry processing worker	269	24.3	Butchers and other meat, poultry, and fish processing workers
Power plant dispatcher	38	-	Power plant operators, distributors, and dispatchers
Power plant distributor	38	-	Power plant operators, distributors, and dispatchers
Power plant operator	38	-	Power plant operators, distributors, and dispatchers
Power tool repairers	28	-	Electric motor, power tool, and related repairers
Precious stone worker	43	-	Jewelers and precious stone and metal workers
Precision equipment repairer	63	14.6	Precision instrument and equipment repairers
Precision instrument repairer	63	14.6	Precision instrument and equipment repairers
Prepress technician	24	-	Prepress technicians and workers
Prepress worker	24	-	Prepress technicians and workers
Preschool and kindergarten teachers	712	97.7	Preschool and kindergarten teachers
Preschool teacher	712	97.7	Preschool and kindergarten teachers
Press machine operator	80	11	Cutting, punching, and press machine setters, operators, and tenders, metal and plastic
Pressing machine operator	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Pressing machine setter	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Pressing machine tender	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders
Print binding worker	11	-	Print binding and finishing workers
Print finishing worker	11	-	Print binding and finishing workers
Printing press operator	173	17.7	Printing press operators
Private detective	94	48.8	Private detectives and investigators
Private investigator	94	48.8	Private detectives and investigators
Probation officer	99	63.5	Probation officers and correctional treatment specialists
Procurement clerk	30	-	Procurement clerks
Producer	180	29.8	Producers and directors
Product promoter	61	78.4	Models, demonstrators, and product promoters
Production clerk	270	53.9	Production, planning, and expediting clerks
Production worker	995	29.5	Production workers, all other
Production worker helper	50	37.1	Helpers--production workers
Promotions manager	61	52.7	Advertising and promotions managers
Proofreader	10	-	Proofreaders and copy markers
Property manager	743	48.6	Property, real estate, and community association managers
Psychiatric aide	1,936	88.6	Nursing, psychiatric, and home health aides
Psychologist	187	68.9	Psychologists
Public relations manager	73	63.5	Public relations and fundraising managers
Public relations specialist	118	60.9	Public relations specialists
Pumping station operator	21	-	Pumping station operators
Punching machine operator	80	11	Cutting, punching, and press machine setters, operators, and tenders, metal and plastic
Purchasing agent	270	44.1	Purchasing agents, except wholesale, retail, and farm products
Purchasing manager	205	52.3	Purchasing managers
Radiation therapist	10	-	Radiation therapists
Radio installer	134	8.1	Radio and telecommunications equipment installers and repairers
Radio operator	119	14.4	Broadcast and sound engineering technicians and radio operators
Radio repairer	134	8.1	Radio and telecommunications equipment installers and repairers
Rail transportation worker	15	-	Subway, streetcar, and other rail transportation workers
Rail-track laying operator	17	-	Rail-track laying and maintenance equipment operators
Rail-track maintenance equipment operator	17	-	Rail-track laying and maintenance equipment operators
Railroad brake operator	4	-	Railroad brake, signal, and switch operators
Railroad conductor	50	5.2	Railroad conductors and yardmasters
Railroad police officer	7	-	Transit and railroad police
Railroad signal operator	4	-	Railroad brake, signal, and switch operators
Railroad switch operator	4	-	Railroad brake, signal, and switch operators
Rancher	1,018	25.2	Farmers, ranchers, and other agricultural managers
Real estate Appraiser	97	37.4	Appraisers and assessors of real estate
Real estate assessor	97	37.4	Appraisers and assessors of real estate
Real estate broker	997	57.1	Real estate brokers and sales agents
Real estate manager	743	48.6	Property, real estate, and community association managers
Real estate sales agent	997	57.1	Real estate brokers and sales agents
Receiving clerk	623	31.3	Shipping, receiving, and traffic clerks
Receptionist	1,267	91	Receptionists and information clerks
Record clerk	110	78.1	Information and record clerks, all other
Recordkeeping checker	52	46.8	Weighers, measurers, checkers, and samplers, recordkeeping
Recordkeeping measurer	52	46.8	Weighers, measurers, checkers, and samplers, recordkeeping
Recordkeeping samplers	52	46.8	Weighers, measurers, checkers, and samplers, recordkeeping
Recordkeeping weigher	52	46.8	Weighers, measurers, checkers, and samplers, recordkeeping
Recreation worker	480	62.3	Recreation and fitness workers
Recreational therapist	7	-	Recreational therapists
Recyclable material collector	94	11.7	Refuse and recyclable material collectors
Refractory machinery mechanic	424	3.9	Industrial and refractory machinery mechanics
Refrigeration installer	448	2	Heating, air conditioning, and refrigeration mechanics and installers
Refrigeration mechanic	448	2	Heating, air conditioning, and refrigeration mechanics and installers
Refuse collector	94	11.7	Refuse and recyclable material collectors
Regional planner	32	-	Urban and regional planners
Registered nurse	3,159	89.9	Registered nurses
Reinforcing iron worker	12	-	Reinforcing iron and rebar workers
Reinforcing rebar worker	12	-	Reinforcing iron and rebar workers
Religious activities director	81	54.1	Directors, religious activities and education
Religious worker	85	65.3	Religious workers, all other
Rental clerk	109	48.9	Counter and rental clerks
Repair worker	528	4.5	Maintenance and repair workers, general
Repair worker	215	5.9	Other installation, maintenance, and repair workers
Repair workers helpers	18	-	Helpers--installation, maintenance, and repair workers
Reservation ticket agent	127	58	Reservation and transportation ticket agents and travel clerks
Residential advisor	44	-	Residential advisors
Resort desk clerk	125	60.9	Hotel, motel, and resort desk clerks
Respiratory therapist	100	72.4	Respiratory therapists
Retail buyer	194	55.8	Wholesale and retail buyers, except farm products
Retail salesperson	3,235	48.2	Retail salespersons
Revenue agent	65	58.4	Tax examiners and collectors, and revenue agents
Rigger	14	-	Riggers
Roasting machine operator	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders
Roasting machine tender	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders
Rolling machine operator	8	-	Rolling machine setters, operators, and tenders, metal and plastic
Rolling machine setter	8	-	Rolling machine setters, operators, and tenders, metal and plastic
Rolling machine tender	8	-	Rolling machine setters, operators, and tenders, metal and plastic
Roofer	220	0.6	Roofers
Rotary drill operator	30	-	Derrick, rotary drill, and service unit operators, oil, gas, and mining
Roustabout	4	-	Roustabouts, oil and gas
Safe repairer	35	-	Locksmiths and safe repairers
Sailor	19	-	Sailors and marine oilers
Sales engineer	35	-	Sales engineers
Sales manager	1,078	45.3	Marketing and sales managers
Sales worker	3,506	6.2	Driver/sales workers and truck drivers
Sales worker	276	50.3	Sales and related workers, all other
Samplers	793	37.9	Inspectors, testers, sorters, samplers, and weighers
Sawing machine operator	27	-	Sawing machine setters, operators, and tenders, wood
Sawing machine setter	27	-	Sawing machine setters, operators, and tenders, wood
Sawing machine tender	27	-	Sawing machine setters, operators, and tenders, wood
Secondary school teacher	1,039	58.5	Secondary school teachers
Secretary	2,769	95	Secretaries and administrative assistants
Securities sales agent	262	34	Securities, commodities, and financial services sales agents
Security guard	920	24.3	Security guards and gaming surveillance officers
Security systems installer	77	2.6	Security and fire alarm systems installers
Semiconductor processor	3	-	Semiconductor processors
Septic tank servicer	10	-	Septic tank servicers and sewer pipe cleaners
Service unit operator	30	-	Derrick, rotary drill, and service unit operators, oil, gas, and mining
Services sales representative	525	27.1	Sales representatives, services, all other
Sewer	77	75.9	Tailors, dressmakers, and sewers
Sewer pipe cleaner	10	-	Septic tank servicers and sewer pipe cleaners
Sewing machine operator	197	73.2	Sewing machine operators
Shaper	35	-	Molders, shapers, and casters, except metal and plastic
Sheet metal worker	137	2.6	Sheet metal workers
Sheriff's patrol officer	704	13.6	Police and sheriff's patrol officers
Ship captain	35	-	Ship and boat captains and operators
Ship engineer	2	-	Ship engineers
Ship loader	6	-	Tank car, truck, and ship loaders
Ship operator	35	-	Ship and boat captains and operators
Shipping clerk	623	31.3	Shipping, receiving, and traffic clerks
Shoe machine operator	5	-	Shoe machine operators and tenders
Shoe machine tender	5	-	Shoe machine operators and tenders
Shoe repairer	5	-	Shoe and leather workers and repairers
Shoe worker	5	-	Shoe and leather workers and repairers
Signal and track switch repairers	9	-	Signal and track switch repairers
Singer	188	37.7	Musicians, singers, and related workers
Small engine mechanic	44	-	Small engine mechanics
Social manager	390	70.2	Social and community service managers
Social science research assistant	4	-	Social science research assistants
Social science technician	164	47.7	Miscellaneous life, physical, and social science technicians
Social scientist	41	-	Miscellaneous social scientists and related workers
Social service assistant	232	75.3	Social and human service assistants
Social service specialist	76	74.8	Miscellaneous community and social service specialists, including health educators and community health workers
Social worker	802	82.5	Social workers
Sociologist	2	-	Sociologists
Software developer	1,536	18.7	Software developers, applications and systems software
Solar photovoltaic installer	11	-	Solar photovoltaic installers
Solderer	600	4.5	Welding, soldering, and brazing workers
Soldering worker	600	4.5	Welding, soldering, and brazing workers
Sorters	793	37.9	Inspectors, testers, sorters, samplers, and weighers
Sound engineering technician	119	14.4	Broadcast and sound engineering technicians and radio operators
Space scientist	7	-	Atmospheric and space scientists
Special education teacher	422	85.6	Special education teachers
Speech-language pathologist	141	98	Speech-language pathologists
Stationary engineer	76	3.3	Stationary engineers and boiler operators
Statistical assistant	21	-	Statistical assistants
Statistician	87	48.8	Statisticians
Steamfitters	600	2.2	Pipelayers, plumbers, pipefitters, and steamfitters
Stock clerk	1,525	37.9	Stock clerks and order fillers
Stock mover	1,930	19.9	Laborers and freight, stock, and material movers, hand
Stonemason	166	0.7	Brickmasons, blockmasons, and stonemasons
Storage manager	291	19.2	Transportation, storage, and distribution managers
Street vendor	166	58.4	Door-to-door sales workers, news and street vendors, and related workers
Streetcar worker	15	-	Subway, streetcar, and other rail transportation workers
Structural iron worker	43	-	Structural iron and steel workers
Structural metal fabricator	30	-	Structural metal fabricators and fitters
Structural metal fitter	30	-	Structural metal fabricators and fitters
Structural steel worker	43	-	Structural iron and steel workers
Stucco mason	27	-	Plasterers and stucco masons
Subway worker	15	-	Subway, streetcar, and other rail transportation workers
Supervisor of material moving workers	205	19.5	Supervisors of transportation and material moving workers
Supervisor of transportation workers	205	19.5	Supervisors of transportation and material moving workers
Surfacing equipment operator	15	-	Paving, surfacing, and tamping equipment operators
Surgeon	1,079	40	Physicians and surgeons
Survey researcher	3	-	Survey researchers
Surveying technician	73	4.6	Surveying and mapping technicians
Surveyor	43	-	Surveyors, cartographers, and photogrammetrists
Switchboard operator	23	-	Switchboard operators, including answering service
Synthetic fiber extruding machine operator	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
Synthetic fiber extruding machine setter	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
Synthetic fiber extruding machine tender	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
System operator	42	-	Miscellaneous plant and system operators
Tailor	77	75.9	Tailors, dressmakers, and sewers
Tamping equipment operator	15	-	Paving, surfacing, and tamping equipment operators
Tank car loader	6	-	Tank car, truck, and ship loaders
Taper	156	2.7	Drywall installers, ceiling tile installers, and tapers
Tax collector	65	58.4	Tax examiners and collectors, and revenue agents
Tax examiner	65	58.4	Tax examiners and collectors, and revenue agents
Tax preparer	107	63.1	Tax preparers
Taxi driver	674	18.9	Taxi drivers and chauffeurs
Teacher	907	65.4	Other teachers and instructors
Teacher assistant	989	88.5	Teacher assistants
Technical writer	76	60.2	Technical writers
Telecommunications equipment installer	134	8.1	Radio and telecommunications equipment installers and repairers
Telecommunications equipment repairer	134	8.1	Radio and telecommunications equipment installers and repairers
Telecommunications line installer	189	2.7	Telecommunications line installers and repairers
Telecommunications repairer	189	2.7	Telecommunications line installers and repairers
Telemarketer	58	69.4	Telemarketers
Telephone operator	47	-	Telephone operators
Television camera operator	82	12.2	Television, video, and motion picture camera operators and editors
Television editor	82	12.2	Television, video, and motion picture camera operators and editors
Teller	306	85.2	Tellers
Terrazzo worker	54	1	Cement masons, concrete finishers, and terrazzo workers
Testers	793	37.9	Inspectors, testers, sorters, samplers, and weighers
Textile bleaching machine operator	1	-	Textile bleaching and dyeing machine operators and tenders
Textile bleaching machine tender	1	-	Textile bleaching and dyeing machine operators and tenders
Textile cutting machine operator	8	-	Textile cutting machine setters, operators, and tenders
Textile cutting machine setter	8	-	Textile cutting machine setters, operators, and tenders
Textile cutting machine tender	8	-	Textile cutting machine setters, operators, and tenders
Textile drawing out machine operator	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders
Textile drawing out machine setter	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders
Textile drawing out machine tender	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders
Textile dyeing machine operator	1	-	Textile bleaching and dyeing machine operators and tenders
Textile dyeing machine tender	1	-	Textile bleaching and dyeing machine operators and tenders
Textile knitting machine operator	19	-	Textile knitting and weaving machine setters, operators, and tenders
Textile knitting machine setter	19	-	Textile knitting and weaving machine setters, operators, and tenders
Textile knitting machine tender	19	-	Textile knitting and weaving machine setters, operators, and tenders
Textile presser	30	-	Pressers, textile, garment, and related materials
Textile twisting machine operator	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders
Textile twisting machine setter	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders
Textile twisting machine tender	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders
Textile weaving machine operator	19	-	Textile knitting and weaving machine setters, operators, and tenders
Textile weaving machine setter	19	-	Textile knitting and weaving machine setters, operators, and tenders
Textile weaving machine tender	19	-	Textile knitting and weaving machine setters, operators, and tenders
Textile winding machine operator	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders
Textile winding machine setter	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders
Textile winding machine tender	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders
Textile worker	18	-	Textile, apparel, and furnishings workers, all other
Therapist	221	83.3	Therapists, all other
Ticket taker	37	-	Ushers, lobby attendants, and ticket takers
Tile finisher	183	2.4	Carpet, floor, and tile installers and finishers
Tile installer	183	2.4	Carpet, floor, and tile installers and finishers
Timekeeping clerk	129	89.5	Payroll and timekeeping clerks
Tire builder	10	-	Tire builders
Tool filer	6	-	Tool grinders, filers, and sharpeners
Tool grinder	6	-	Tool grinders, filers, and sharpeners
Tool maker	62	3.2	Tool and die makers
Tool sharpeners	6	-	Tool grinders, filers, and sharpeners
Tour guide	68	46.4	Tour and travel guides
Tower operator	53	4.1	Crane and tower operators
Traffic clerk	623	31.3	Shipping, receiving, and traffic clerks
Training manager	63	59.8	Training and development managers
Training specialist	133	47.1	Training and development specialists
Transit police officer	7	-	Transit and railroad police
Transportation attendant	35	-	Transportation attendants, except flight attendants
Transportation equipment electrical installer	1	-	Electrical and electronics installers and repairers, transportation equipment
Transportation equipment electrical repairer	1	-	Electrical and electronics installers and repairers, transportation equipment
Transportation equipment electronics installer	1	-	Electrical and electronics installers and repairers, transportation equipment
Transportation equipment electronics repairer	1	-	Electrical and electronics installers and repairers, transportation equipment
Transportation inspector	41	-	Transportation inspectors
Transportation manager	291	19.2	Transportation, storage, and distribution managers
Transportation security screener	46	-	Transportation security screeners
Transportation ticket agent	127	58	Reservation and transportation ticket agents and travel clerks
Transportation worker	24	-	Other transportation workers
Trapper	1	-	Hunters and trappers
Travel agent	89	82.7	Travel agents
Travel clerk	127	58	Reservation and transportation ticket agents and travel clerks
Travel guide	68	46.4	Tour and travel guides
Truck driver	3,506	6.2	Driver/sales workers and truck drivers
Truck loader	6	-	Tank car, truck, and ship loaders
Truck mechanic	401	1.8	Bus and truck mechanics and diesel engine specialists
