Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
First-line supervisor of prevention workers	44	-	First-line supervisors of fire fighting and prevention workers	Protective service occupations	3,113	22.3
First-line supervisor of production workers	768	19.1	First-line supervisors of production and operating workers	Production occupations	8,482	28.9
First-line supervisor of protective service workers	72	22	First-line supervisors of protective service workers, all other	Protective service occupations	3,113	22.3
First-line supervisor of repairers	253	8.4	First-line supervisors of mechanics, installers, and repairers	Installation, maintenance, and repair occupations	4,977	4
First-line supervisor of retail sales workers	3,272	43.4	First-line supervisors of retail sales workers	Sales and related occupations	15,815	49.1
Fish processing worker	269	24.3	Butchers and other meat, poultry, and fish processing workers	Production occupations	8,482	28.9
Fish warden	4	-	Fish and game wardens	Protective service occupations	3,113	22.3
Fisher	44	-	Fishers and related fishing workers	Farming, fishing, and forestry occupations	1,184	23.4
Fitness worker	480	62.3	Recreation and fitness workers	Personal care and service occupations	5,939	76.1
Flight attendant	98	72.9	Flight attendants	Transportation and material moving occupations	9,445	17.3
Flight engineer	120	6.2	Aircraft pilots and flight engineers	Transportation and material moving occupations	9,445	17.3
Floor finisher	183	2.4	Carpet, floor, and tile installers and finishers	Construction and extraction occupations	8,031	3
Floor installer	183	2.4	Carpet, floor, and tile installers and finishers	Construction and extraction occupations	8,031	3
Food batchmaker	89	58.1	Food batchmakers	Production occupations	8,482	28.9
Food cooking machine operator	15	-	Food cooking machine operators and tenders	Production occupations	8,482	28.9
Food cooking machine tender	15	-	Food cooking machine operators and tenders	Production occupations	8,482	28.9
Food prepararer	372	60	Combined food preparation and serving workers, including fast food	Food preparation and serving related occupations	8,305	53.8
Food preparation worker	1,068	58.9	Food preparation workers	Food preparation and serving related occupations	8,305	53.8
Food processing worker	175	32.5	Food processing workers, all other	Production occupations	8,482	28.9
Food science technician	32	-	Agricultural and food science technicians	Life, physical, and social science occupations	1,431	47.4
Food scientist	32	-	Agricultural and food scientists	Life, physical, and social science occupations	1,431	47.4
Food server	372	60	Combined food preparation and serving workers, including fast food	Food preparation and serving related occupations	8,305	53.8
Food server	207	69.9	Food servers, nonrestaurant	Food preparation and serving related occupations	8,305	53.8
Food service manager	1,210	46.3	Food service managers	Management occupations	17,804	39.8
Forest conservation worker	27	-	Forest and conservation workers	Farming, fishing, and forestry occupations	1,184	23.4
Forester	29	-	Conservation scientists and foresters	Life, physical, and social science occupations	1,431	47.4
Forging machine operator	8	-	Forging machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Forging machine setter	8	-	Forging machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Forging machine tender	8	-	Forging machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Forming machine operator	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers	Production occupations	8,482	28.9
Forming machine operator	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Forming machine setter	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Forming machine setters	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers	Production occupations	8,482	28.9
Forming machine tender	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers	Production occupations	8,482	28.9
Forming machine tender	21	-	Extruding, forming, pressing, and compacting machine setters, operators, and tenders	Production occupations	8,482	28.9
Freezing equipment operator	3	-	Cooling and freezing equipment operators and tenders	Production occupations	8,482	28.9
Freezing equipment tender	3	-	Cooling and freezing equipment operators and tenders	Production occupations	8,482	28.9
Freight agent	16	-	Cargo and freight agents	Office and administrative support occupations	17,751	72.2
Freight mover	1,930	19.9	Laborers and freight, stock, and material movers, hand	Transportation and material moving occupations	9,445	17.3
Fundraiser	84	77.3	Fundraisers	Business and financial operations occupations	7,574	54
Fundraising manager	73	63.5	Public relations and fundraising managers	Management occupations	17,804	39.8
Funeral attendant	17	-	Embalmers and funeral attendants	Personal care and service occupations	5,939	76.1
Funeral director	42	-	Morticians, undertakers, and funeral directors	Personal care and service occupations	5,939	76.1
Funeral service manager	15	-	Funeral service managers	Management occupations	17,804	39.8
