Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
Roasting machine tender	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders	Production occupations	8,482	28.9
Rolling machine operator	8	-	Rolling machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Rolling machine setter	8	-	Rolling machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Rolling machine tender	8	-	Rolling machine setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Roofer	220	0.6	Roofers	Construction and extraction occupations	8,031	3
Rotary drill operator	30	-	Derrick, rotary drill, and service unit operators, oil, gas, and mining	Construction and extraction occupations	8,031	3
Roustabout	4	-	Roustabouts, oil and gas	Construction and extraction occupations	8,031	3
Safe repairer	35	-	Locksmiths and safe repairers	Installation, maintenance, and repair occupations	4,977	4
Sailor	19	-	Sailors and marine oilers	Transportation and material moving occupations	9,445	17.3
Sales engineer	35	-	Sales engineers	Sales and related occupations	15,815	49.1
Sales manager	1,078	45.3	Marketing and sales managers	Management occupations	17,804	39.8
Sales worker	3,506	6.2	Driver/sales workers and truck drivers	Transportation and material moving occupations	9,445	17.3
Sales worker	276	50.3	Sales and related workers, all other	Sales and related occupations	15,815	49.1
Samplers	793	37.9	Inspectors, testers, sorters, samplers, and weighers	Production occupations	8,482	28.9
Sawing machine operator	27	-	Sawing machine setters, operators, and tenders, wood	Production occupations	8,482	28.9
Sawing machine setter	27	-	Sawing machine setters, operators, and tenders, wood	Production occupations	8,482	28.9
Sawing machine tender	27	-	Sawing machine setters, operators, and tenders, wood	Production occupations	8,482	28.9
Secondary school teacher	1,039	58.5	Secondary school teachers	Education, training, and library occupations	9,215	73
Secretary	2,769	95	Secretaries and administrative assistants	Office and administrative support occupations	17,751	72.2
Securities sales agent	262	34	Securities, commodities, and financial services sales agents	Sales and related occupations	15,815	49.1
Security guard	920	24.3	Security guards and gaming surveillance officers	Protective service occupations	3,113	22.3
Security systems installer	77	2.6	Security and fire alarm systems installers	Installation, maintenance, and repair occupations	4,977	4
Semiconductor processor	3	-	Semiconductor processors	Production occupations	8,482	28.9
Septic tank servicer	10	-	Septic tank servicers and sewer pipe cleaners	Construction and extraction occupations	8,031	3
Service unit operator	30	-	Derrick, rotary drill, and service unit operators, oil, gas, and mining	Construction and extraction occupations	8,031	3
Services sales representative	525	27.1	Sales representatives, services, all other	Sales and related occupations	15,815	49.1
Sewer	77	75.9	Tailors, dressmakers, and sewers	Production occupations	8,482	28.9
Sewer pipe cleaner	10	-	Septic tank servicers and sewer pipe cleaners	Construction and extraction occupations	8,031	3
Sewing machine operator	197	73.2	Sewing machine operators	Production occupations	8,482	28.9
Shaper	35	-	Molders, shapers, and casters, except metal and plastic	Production occupations	8,482	28.9
Sheet metal worker	137	2.6	Sheet metal workers	Construction and extraction occupations	8,031	3
Sheriff's patrol officer	704	13.6	Police and sheriff's patrol officers	Protective service occupations	3,113	22.3
Ship captain	35	-	Ship and boat captains and operators	Transportation and material moving occupations	9,445	17.3
Ship engineer	2	-	Ship engineers	Transportation and material moving occupations	9,445	17.3
Ship loader	6	-	Tank car, truck, and ship loaders	Transportation and material moving occupations	9,445	17.3
Ship operator	35	-	Ship and boat captains and operators	Transportation and material moving occupations	9,445	17.3
Shipping clerk	623	31.3	Shipping, receiving, and traffic clerks	Office and administrative support occupations	17,751	72.2
Shoe machine operator	5	-	Shoe machine operators and tenders	Production occupations	8,482	28.9
Shoe machine tender	5	-	Shoe machine operators and tenders	Production occupations	8,482	28.9
Shoe repairer	5	-	Shoe and leather workers and repairers	Production occupations	8,482	28.9
Shoe worker	5	-	Shoe and leather workers and repairers	Production occupations	8,482	28.9
Signal and track switch repairers	9	-	Signal and track switch repairers	Installation, maintenance, and repair occupations	4,977	4
Singer	188	37.7	Musicians, singers, and related workers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Small engine mechanic	44	-	Small engine mechanics	Installation, maintenance, and repair occupations	4,977	4
Social manager	390	70.2	Social and community service managers	Management occupations	17,804	39.8
Social science research assistant	4	-	Social science research assistants	Life, physical, and social science occupations	1,431	47.4
Social science technician	164	47.7	Miscellaneous life, physical, and social science technicians	Life, physical, and social science occupations	1,431	47.4
Social scientist	41	-	Miscellaneous social scientists and related workers	Life, physical, and social science occupations	1,431	47.4
Social service assistant	232	75.3	Social and human service assistants	Community and social service occupations	2,635	66.1
Social service specialist	76	74.8	Miscellaneous community and social service specialists, including health educators and community health workers	Community and social service occupations	2,635	66.1
Social worker	802	82.5	Social workers	Community and social service occupations	2,635	66.1
Sociologist	2	-	Sociologists	Life, physical, and social science occupations	1,431	47.4
Software developer	1,536	18.7	Software developers, applications and systems software	Computer and mathematical occupations	4,804	25.5
Solar photovoltaic installer	11	-	Solar photovoltaic installers	Construction and extraction occupations	8,031	3
Solderer	600	4.5	Welding, soldering, and brazing workers	Production occupations	8,482	28.9
Soldering worker	600	4.5	Welding, soldering, and brazing workers	Production occupations	8,482	28.9
Sorters	793	37.9	Inspectors, testers, sorters, samplers, and weighers	Production occupations	8,482	28.9
Sound engineering technician	119	14.4	Broadcast and sound engineering technicians and radio operators	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Space scientist	7	-	Atmospheric and space scientists	Life, physical, and social science occupations	1,431	47.4
Special education teacher	422	85.6	Special education teachers	Education, training, and library occupations	9,215	73
Speech-language pathologist	141	98	Speech-language pathologists	Healthcare practitioners and technical occupations	9,141	75
Stationary engineer	76	3.3	Stationary engineers and boiler operators	Production occupations	8,482	28.9
Statistical assistant	21	-	Statistical assistants	Office and administrative support occupations	17,751	72.2
Statistician	87	48.8	Statisticians	Computer and mathematical occupations	4,804	25.5
Steamfitters	600	2.2	Pipelayers, plumbers, pipefitters, and steamfitters	Construction and extraction occupations	8,031	3
Stock clerk	1,525	37.9	Stock clerks and order fillers	Office and administrative support occupations	17,751	72.2
Stock mover	1,930	19.9	Laborers and freight, stock, and material movers, hand	Transportation and material moving occupations	9,445	17.3
Stonemason	166	0.7	Brickmasons, blockmasons, and stonemasons	Construction and extraction occupations	8,031	3
Storage manager	291	19.2	Transportation, storage, and distribution managers	Management occupations	17,804	39.8
Street vendor	166	58.4	Door-to-door sales workers, news and street vendors, and related workers	Sales and related occupations	15,815	49.1
Streetcar worker	15	-	Subway, streetcar, and other rail transportation workers	Transportation and material moving occupations	9,445	17.3
Structural iron worker	43	-	Structural iron and steel workers	Construction and extraction occupations	8,031	3
Structural metal fabricator	30	-	Structural metal fabricators and fitters	Production occupations	8,482	28.9
Structural metal fitter	30	-	Structural metal fabricators and fitters	Production occupations	8,482	28.9
Structural steel worker	43	-	Structural iron and steel workers	Construction and extraction occupations	8,031	3
Stucco mason	27	-	Plasterers and stucco masons	Construction and extraction occupations	8,031	3
Subway worker	15	-	Subway, streetcar, and other rail transportation workers	Transportation and material moving occupations	9,445	17.3
Supervisor of material moving workers	205	19.5	Supervisors of transportation and material moving workers	Transportation and material moving occupations	9,445	17.3
Supervisor of transportation workers	205	19.5	Supervisors of transportation and material moving workers	Transportation and material moving occupations	9,445	17.3
Surfacing equipment operator	15	-	Paving, surfacing, and tamping equipment operators	Construction and extraction occupations	8,031	3
Surgeon	1,079	40	Physicians and surgeons	Healthcare practitioners and technical occupations	9,141	75
Survey researcher	3	-	Survey researchers	Life, physical, and social science occupations	1,431	47.4
Surveying technician	73	4.6	Surveying and mapping technicians	Architecture and engineering occupations	3,224	16.2
Surveyor	43	-	Surveyors, cartographers, and photogrammetrists	Architecture and engineering occupations	3,224	16.2
Switchboard operator	23	-	Switchboard operators, including answering service	Office and administrative support occupations	17,751	72.2
Synthetic fiber extruding machine operator	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers	Production occupations	8,482	28.9
Synthetic fiber extruding machine setter	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers	Production occupations	8,482	28.9
Synthetic fiber extruding machine tender	0	-	Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers	Production occupations	8,482	28.9
System operator	42	-	Miscellaneous plant and system operators	Production occupations	8,482	28.9
Tailor	77	75.9	Tailors, dressmakers, and sewers	Production occupations	8,482	28.9
Tamping equipment operator	15	-	Paving, surfacing, and tamping equipment operators	Construction and extraction occupations	8,031	3
Tank car loader	6	-	Tank car, truck, and ship loaders	Transportation and material moving occupations	9,445	17.3
Taper	156	2.7	Drywall installers, ceiling tile installers, and tapers	Construction and extraction occupations	8,031	3
Tax collector	65	58.4	Tax examiners and collectors, and revenue agents	Business and financial operations occupations	7,574	54
Tax examiner	65	58.4	Tax examiners and collectors, and revenue agents	Business and financial operations occupations	7,574	54
Tax preparer	107	63.1	Tax preparers	Business and financial operations occupations	7,574	54
Taxi driver	674	18.9	Taxi drivers and chauffeurs	Transportation and material moving occupations	9,445	17.3
Teacher	907	65.4	Other teachers and instructors	Education, training, and library occupations	9,215	73
Teacher assistant	989	88.5	Teacher assistants	Education, training, and library occupations	9,215	73
Technical writer	76	60.2	Technical writers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Telecommunications equipment installer	134	8.1	Radio and telecommunications equipment installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Telecommunications equipment repairer	134	8.1	Radio and telecommunications equipment installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Telecommunications line installer	189	2.7	Telecommunications line installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Telecommunications repairer	189	2.7	Telecommunications line installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Telemarketer	58	69.4	Telemarketers	Sales and related occupations	15,815	49.1
Telephone operator	47	-	Telephone operators	Office and administrative support occupations	17,751	72.2
Television camera operator	82	12.2	Television, video, and motion picture camera operators and editors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Television editor	82	12.2	Television, video, and motion picture camera operators and editors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Teller	306	85.2	Tellers	Office and administrative support occupations	17,751	72.2
Terrazzo worker	54	1	Cement masons, concrete finishers, and terrazzo workers	Construction and extraction occupations	8,031	3
Testers	793	37.9	Inspectors, testers, sorters, samplers, and weighers	Production occupations	8,482	28.9
Textile bleaching machine operator	1	-	Textile bleaching and dyeing machine operators and tenders	Production occupations	8,482	28.9
Textile bleaching machine tender	1	-	Textile bleaching and dyeing machine operators and tenders	Production occupations	8,482	28.9
Textile cutting machine operator	8	-	Textile cutting machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile cutting machine setter	8	-	Textile cutting machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile cutting machine tender	8	-	Textile cutting machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile drawing out machine operator	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile drawing out machine setter	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile drawing out machine tender	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile dyeing machine operator	1	-	Textile bleaching and dyeing machine operators and tenders	Production occupations	8,482	28.9
Textile dyeing machine tender	1	-	Textile bleaching and dyeing machine operators and tenders	Production occupations	8,482	28.9
Textile knitting machine operator	19	-	Textile knitting and weaving machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile knitting machine setter	19	-	Textile knitting and weaving machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile knitting machine tender	19	-	Textile knitting and weaving machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile presser	30	-	Pressers, textile, garment, and related materials	Production occupations	8,482	28.9
Textile twisting machine operator	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile twisting machine setter	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile twisting machine tender	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile weaving machine operator	19	-	Textile knitting and weaving machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile weaving machine setter	19	-	Textile knitting and weaving machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile weaving machine tender	19	-	Textile knitting and weaving machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile winding machine operator	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile winding machine setter	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile winding machine tender	16	-	Textile winding, twisting, and drawing out machine setters, operators, and tenders	Production occupations	8,482	28.9
Textile worker	18	-	Textile, apparel, and furnishings workers, all other	Production occupations	8,482	28.9
Therapist	221	83.3	Therapists, all other	Healthcare practitioners and technical occupations	9,141	75
Ticket taker	37	-	Ushers, lobby attendants, and ticket takers	Personal care and service occupations	5,939	76.1
Tile finisher	183	2.4	Carpet, floor, and tile installers and finishers	Construction and extraction occupations	8,031	3
Tile installer	183	2.4	Carpet, floor, and tile installers and finishers	Construction and extraction occupations	8,031	3
Timekeeping clerk	129	89.5	Payroll and timekeeping clerks	Office and administrative support occupations	17,751	72.2
Tire builder	10	-	Tire builders	Production occupations	8,482	28.9
Tool filer	6	-	Tool grinders, filers, and sharpeners	Production occupations	8,482	28.9
Tool grinder	6	-	Tool grinders, filers, and sharpeners	Production occupations	8,482	28.9
Tool maker	62	3.2	Tool and die makers	Production occupations	8,482	28.9
Tool sharpeners	6	-	Tool grinders, filers, and sharpeners	Production occupations	8,482	28.9
Tour guide	68	46.4	Tour and travel guides	Personal care and service occupations	5,939	76.1
Tower operator	53	4.1	Crane and tower operators	Transportation and material moving occupations	9,445	17.3
Traffic clerk	623	31.3	Shipping, receiving, and traffic clerks	Office and administrative support occupations	17,751	72.2
Training manager	63	59.8	Training and development managers	Management occupations	17,804	39.8
Training specialist	133	47.1	Training and development specialists	Business and financial operations occupations	7,574	54
Transit police officer	7	-	Transit and railroad police	Protective service occupations	3,113	22.3
Transportation attendant	35	-	Transportation attendants, except flight attendants	Transportation and material moving occupations	9,445	17.3
Transportation equipment electrical installer	1	-	Electrical and electronics installers and repairers, transportation equipment	Installation, maintenance, and repair occupations	4,977	4
Transportation equipment electrical repairer	1	-	Electrical and electronics installers and repairers, transportation equipment	Installation, maintenance, and repair occupations	4,977	4
Transportation equipment electronics installer	1	-	Electrical and electronics installers and repairers, transportation equipment	Installation, maintenance, and repair occupations	4,977	4
Transportation equipment electronics repairer	1	-	Electrical and electronics installers and repairers, transportation equipment	Installation, maintenance, and repair occupations	4,977	4
Transportation inspector	41	-	Transportation inspectors	Transportation and material moving occupations	9,445	17.3
Transportation manager	291	19.2	Transportation, storage, and distribution managers	Management occupations	17,804	39.8
Transportation security screener	46	-	Transportation security screeners	Protective service occupations	3,113	22.3
Transportation ticket agent	127	58	Reservation and transportation ticket agents and travel clerks	Office and administrative support occupations	17,751	72.2
Transportation worker	24	-	Other transportation workers	Transportation and material moving occupations	9,445	17.3
Trapper	1	-	Hunters and trappers	Farming, fishing, and forestry occupations	1,184	23.4
Travel agent	89	82.7	Travel agents	Sales and related occupations	15,815	49.1
Travel clerk	127	58	Reservation and transportation ticket agents and travel clerks	Office and administrative support occupations	17,751	72.2
Travel guide	68	46.4	Tour and travel guides	Personal care and service occupations	5,939	76.1
Truck driver	3,506	6.2	Driver/sales workers and truck drivers	Transportation and material moving occupations	9,445	17.3
Truck loader	6	-	Tank car, truck, and ship loaders	Transportation and material moving occupations	9,445	17.3
Truck mechanic	401	1.8	Bus and truck mechanics and diesel engine specialists	Installation, maintenance, and repair occupations	4,977	4
Turning machine tool operator	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Turning machine tool setter	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Turning machine tool tender	14	-	Lathe and turning machine tool setters, operators, and tenders, metal and plastic	Production occupations	8,482	28.9
Typist	94	89.8	Word processors and typists	Office and administrative support occupations	17,751	72.2
Umpire	345	36.4	Athletes, coaches, umpires, and related workers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Undertaker	42	-	Morticians, undertakers, and funeral directors	Personal care and service occupations	5,939	76.1
University lecturer	1,423	47	Postsecondary teachers	Education, training, and library occupations	9,215	73
University professor	1,423	47	Postsecondary teachers	Education, training, and library occupations	9,215	73
University teacher	1,423	47	Postsecondary teachers	Education, training, and library occupations	9,215	73
Upholsterer	31	-	Upholsterers	Production occupations	8,482	28.9
Urban planner	32	-	Urban and regional planners	Life, physical, and social science occupations	1,431	47.4
Usher	37	-	Ushers, lobby attendants, and ticket takers	Personal care and service occupations	5,939	76.1
Utility Electrical repairer	12	-	Electrical and electronics repairers, industrial and utility	Installation, maintenance, and repair occupations	4,977	4
Utility electronics repairer	12	-	Electrical and electronics repairers, industrial and utility	Installation, maintenance, and repair occupations	4,977	4
Valve installer	26	-	Control and valve installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Valve repairer	26	-	Control and valve installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Vehicle Cleaner	331	14	Cleaners of vehicles and equipment	Transportation and material moving occupations	9,445	17.3
Vehicle installer	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	Installation, maintenance, and repair occupations	4,977	4
Vehicle mechanic	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	Installation, maintenance, and repair occupations	4,977	4
Vehicle repairer	83	1.8	Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers	Installation, maintenance, and repair occupations	4,977	4
Vending machine repairer	34	-	Coin, vending, and amusement machine servicers and repairers	Installation, maintenance, and repair occupations	4,977	4
Vending machine servicer	34	-	Coin, vending, and amusement machine servicers and repairers	Installation, maintenance, and repair occupations	4,977	4
Veterinarian	89	62.5	Veterinarians	Healthcare practitioners and technical occupations	9,141	75
Veterinary assistant	61	84.2	Veterinary assistants and laboratory animal caretakers	Healthcare support occupations	3,506	87.1
Video camera operator	82	12.2	Television, video, and motion picture camera operators and editors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Video editor	82	12.2	Television, video, and motion picture camera operators and editors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Washing equipment operator	11	-	Cleaning, washing, and metal pickling equipment operators and tenders	Production occupations	8,482	28.9
Washing equipment tender	11	-	Cleaning, washing, and metal pickling equipment operators and tenders	Production occupations	8,482	28.9
Wastewater treatment plant operator	107	3.8	Water and wastewater treatment plant and system operators	Production occupations	8,482	28.9
Wastewater treatment system operator	107	3.8	Water and wastewater treatment plant and system operators	Production occupations	8,482	28.9
Water treatment plant operator	107	3.8	Water and wastewater treatment plant and system operators	Production occupations	8,482	28.9
Water treatment system operator	107	3.8	Water and wastewater treatment plant and system operators	Production occupations	8,482	28.9
Watercraft service attendant	94	8.8	Automotive and watercraft service attendants	Transportation and material moving occupations	9,445	17.3
Web developer	204	32.3	Web developers	Computer and mathematical occupations	4,804	25.5
Weighers	793	37.9	Inspectors, testers, sorters, samplers, and weighers	Production occupations	8,482	28.9
Welder	600	4.5	Welding, soldering, and brazing workers	Production occupations	8,482	28.9
Welding worker	600	4.5	Welding, soldering, and brazing workers	Production occupations	8,482	28.9
Wholesale buyer	194	55.8	Wholesale and retail buyers, except farm products	Business and financial operations occupations	7,574	54
Wholesale sales representatives	1,264	28	Sales representatives, wholesale and manufacturing	Sales and related occupations	15,815	49.1
Winch operator	7	-	Hoist and winch operators	Transportation and material moving occupations	9,445	17.3
Wind turbine service technician	5	-	Wind turbine service technicians	Installation, maintenance, and repair occupations	4,977	4
Wood model maker	1	-	Model makers and patternmakers, wood	Production occupations	8,482	28.9
Wood patternmaker	1	-	Model makers and patternmakers, wood	Production occupations	8,482	28.9
Woodworker	28	-	Woodworkers, all other	Production occupations	8,482	28.9
Woodworking machine operator	19	-	Woodworking machine setters, operators, and tenders, except sawing	Production occupations	8,482	28.9
Woodworking machine setter	19	-	Woodworking machine setters, operators, and tenders, except sawing	Production occupations	8,482	28.9
Woodworking machine tender	19	-	Woodworking machine setters, operators, and tenders, except sawing	Production occupations	8,482	28.9
Word processor	94	89.8	Word processors and typists	Office and administrative support occupations	17,751	72.2
Writers	226	60.9	Writers and authors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Yardmaster	50	5.2	Railroad conductors and yardmasters	Transportation and material moving occupations	9,445	17.3
